Station,Longitude,Latitude,Route
D.B.Mall,23.23370171,77.43018341,SR6
Board Office(Milan),23.23130417,77.43261719,SR6
Jyoti Talkies,23.2332058,77.43466187,SR6
Kasturba Nagar,23.23077965,77.44007874,SR6
Isbt,23.22909546,77.44200134,SR6
Anna Nagar,23.2317276,77.44631958,SR6
Carrier College,23.23168945,77.45013428,SR6
Govindpura Thana,23.23186493,77.45454407,SR6
Bhel Gate – 6,23.23167801,77.45968628,SR6
Vijay Market,23.228899,77.46619415,SR6
Mahatma Gandhi Chouraha,23.2319088,77.47199249,SR6
Gandhi Market Piplani,23.23929024,77.47237396,SR6
Allahabad Bank,23.16534042,77.46666718,SR6
Piplani Pump,23.24910355,77.4718399,SR6
Kalpana Nagar,23.24972725,77.47714996,SR6
Ratnagiri By Pass,23.25095749,77.47999573,SR6
Anand Nagar,23.25105858,77.48690033,SR6
Ram Mandir,23.25072861,77.48711395,SR6
Siddhartha Lake City,23.25024796,77.49098969,SR6
Patel Nagar,23.25769806,77.5017395,SR6
Oriantal College,23.24802208,77.50424957,SR6
Gandhinagar,23.30191612,77.36115265,SR7
New Gandhinagar,23.29899025,77.35668182,SR7
Asharam Tiraha,23.2972641,77.3533783,SR7
Data Colony,23.2832222,77.35613251,SR7
Panchwati,23.27801132,77.35861969,SR7
Gufa Mandir,23.27812576,77.37360382,SR7
Vip Guest House,23.27121925,77.37582397,SR7
Kohefiza,23.26949501,77.37691498,SR7
Collectorate,23.26358795,77.38312531,SR7
State Bank,23.26185036,77.38881683,SR7
Royal Market,23.26150322,77.39205933,SR7
Tajul Masajid,23.26281738,77.3937912,SR7
Taj Mahal,23.26697159,77.39337158,SR7
Bhopal Talkis,23.26636505,77.40058899,SR7
Bus Stand,23.26520348,77.40529633,SR7
Railway Station,23.26421928,77.41114807,SR7
Hanuman Ganj Thana,23.26421547,77.40407562,SR7
Milan Shadi Hall,23.25993347,77.41261292,SR7
Ganesh Mandir Chola,23.2847538,77.41999054,SR7
J.P Nagar,23.2904644,77.40923309,SR7
Krishi Upaj Mandi,23.29141235,77.40353394,SR7
Narayan Nagar,23.20410919,77.44606018,SR7
Best Price,23.30333328,77.41904449,SR7
Pupils Hosp,23.30174637,77.42449951,SR7
Bhanpur Over Bridge,23.2998085,77.42926025,SR7
Tirupati,23.28012276,77.44592285,SR7
Damkheda,23.28050995,77.44728088,SR7
Sagar College,23.27963638,77.45096588,SR7
Minal Gate No 8,23.27839088,77.4562149,SR7
Ayodhaya Square,23.2755127,77.46360016,SR7
Raj Industries,23.27321053,77.46041107,SR7
Minal Mall,23.26885605,77.45689392,SR7
J.K Tiraha,23.25148392,77.45630646,SR7
Nizamuddin,23.25217438,77.46327972,SR7
Indrapuri A,23.25581169,77.4601593,SR7
Bhel Jubilee Gate,23.25039482,77.46289063,SR7
Bima Hospital,23.24983215,77.46750641,SR7
Piplani Pump,23.24910355,77.4718399,SR7
Kalpana Nagar,23.24972725,77.47714996,SR7
Ratnagiri Bypass Tiraha,23.25102234,77.47975922,SR7
Anand Nagar,23.25105858,77.48690033,SR7
Siddhart Lakecity,23.24896049,77.49092865,SR7
Oriental College,23.24950218,77.50080872,SR7
Patel Nagar Bypass,23.25270653,77.51100922,SR7
Chinchli Bairagarh,23.1499958,77.41099548,SR8
Gainhu Kheda,23.15826225,77.4135437,SR8
Nahar(Sanskar Gardan),23.16161156,77.41426849,SR8
Lalita Nagar,23.16539001,77.41527557,SR8
Nayapura Colony,23.17263985,77.41699219,SR8
Beema Kunj,23.17947769,77.41843414,SR8
Mahabali Nagar,23.18140984,77.40851593,SR8
Sarvadharma Colony,23.18905067,77.41722107,SR8
Nahar Puliya,23.20380783,77.41159058,SR8
Ayusman Hospital,23.19921303,77.42011261,SR8
Manisa Market,23.20174408,77.42533112,SR8
Saitan Singh,23.20215797,77.43006134,SR8
Campion School,23.20632362,77.43114471,SR8
Bittal Market/1100 Q.Chu.,23.21154404,77.43113708,SR8
Baas Khedi,23.2146244,77.43126678,SR8
Habibganj Thana,23.21846581,77.42897797,SR8
Bittan Mkt/Dhsera Maidan,23.22214699,77.43122864,SR8
Subhash School,23.22320938,77.42995453,SR8
7 No.Stop,23.22294998,77.43397522,SR8
Bjp Office,23.2233696,77.43634033,SR8
Habibganj R/Station,23.22126961,77.44203949,SR8
Habibganj Naka,23.21614647,77.44187164,SR8
Habibganj R/Station,23.22126961,77.44203949,SR8
Sargam Talkies,23.22702599,77.43547058,SR8
Jyoti Tlk. Top & Toun,23.23279381,77.4342804,SR8
Isbt,23.22909546,77.44200134,SR8
Kasturwa Nagar,23.23284149,77.44184113,SR8
Goutam Nagar,23.23412514,77.44158173,SR8
Shanti Niketan,23.23427582,77.44258881,SR8
Janta Quatar,23.24155045,77.44004822,SR8
Sant Pitar Charch,23.24440575,77.4357605,SR8
Subhas Fatak,23.24682045,77.43184662,SR8
Prabhat Petrol Pump,23.25223732,77.43135071,SR8
Swami Vivekanand Chouraha,23.2556324,77.42990875,SR8
