id,station,latitude,longitude,route,link
SR3-11,Nadra Bus Stand,23.2652874,77.40531921,SR3,"https://www.google.com/maps/place/23.2652874,77.40531921"
SR3-12,Sabji Mandi,23.26443863,77.40631866,SR3,"https://www.google.com/maps/place/23.26443863,77.40631866"
SR3-13,Alpana Tiraha,23.26436806,77.41020203,SR3,"https://www.google.com/maps/place/23.26436806,77.41020203"
SR3-14,Bharat Talkies,23.26047707,77.41085815,SR3,"https://www.google.com/maps/place/23.26047707,77.41085815"
SR3-15,Ajabghar,23.25993347,77.41261292,SR3,"https://www.google.com/maps/place/23.25993347,77.41261292"
SR3-16,Lady Hospital,23.25993347,77.41261292,SR3,"https://www.google.com/maps/place/23.25993347,77.41261292"
SR3-17,Jehangirabad,23.25225258,77.41423798,SR3,"https://www.google.com/maps/place/23.25225258,77.41423798"
SR3-18,Phq,23.24808693,77.41262817,SR3,"https://www.google.com/maps/place/23.24808693,77.41262817"
SR3-19,Police Control Room,23.24339485,77.4096756,SR3,"https://www.google.com/maps/place/23.24339485,77.4096756"
SR3-20,Old Vidhan Sabha,23.242836,77.40871429,SR3,"https://www.google.com/maps/place/23.242836,77.40871429"
SR3-21,Roshanpura,23.23756409,77.40115356,SR3,"https://www.google.com/maps/place/23.23756409,77.40115356"
SR3-22,"New Market,Top&Town",23.23516846,77.40137482,SR3,"https://www.google.com/maps/place/23.23516846,77.40137482"
SR3-23,Prakash Tarun Pushkar,23.23270798,77.41160583,SR3,"https://www.google.com/maps/place/23.23270798,77.41160583"
SR3-24,1250 Hospital,23.23146248,77.41585541,SR3,"https://www.google.com/maps/place/23.23146248,77.41585541"
SR3-25,Cangress Bhawan,23.23126602,77.42153931,SR3,"https://www.google.com/maps/place/23.23126602,77.42153931"
SR3-26,Vyapam,23.23079109,77.42773438,SR3,"https://www.google.com/maps/place/23.23079109,77.42773438"
SR3-27,Board Office(Milan),23.23130417,77.43261719,SR3,"https://www.google.com/maps/place/23.23130417,77.43261719"
SR3-28,Jyoti Talkies,23.2332058,77.43466187,SR3,"https://www.google.com/maps/place/23.2332058,77.43466187"
SR3-29,Isbt,23.22909546,77.44200134,SR3,"https://www.google.com/maps/place/23.22909546,77.44200134"
SR3-30,Kasturwa Nagar,23.23284149,77.44184113,SR3,"https://www.google.com/maps/place/23.23284149,77.44184113"
SR3-31,Goutam Nagar,23.23412514,77.44158173,SR3,"https://www.google.com/maps/place/23.23412514,77.44158173"
SR3-32,Shanti Niketan,23.23427582,77.44258881,SR3,"https://www.google.com/maps/place/23.23427582,77.44258881"
SR3-33,Janta Quatar,23.24155045,77.44004822,SR3,"https://www.google.com/maps/place/23.24155045,77.44004822"
SR3-34,Sant Pitar Charch,23.24440575,77.4357605,SR3,"https://www.google.com/maps/place/23.24440575,77.4357605"
SR3-35,Subhas Fatak,23.24682045,77.43184662,SR3,"https://www.google.com/maps/place/23.24682045,77.43184662"
SR3-36,Prabhat Petrol Pump,23.25223732,77.43135071,SR3,"https://www.google.com/maps/place/23.25223732,77.43135071"
SR3-37,Punjabi Bagh,23.25314903,77.43582153,SR3,"https://www.google.com/maps/place/23.25314903,77.43582153"
SR3-38,Bijli Colony,23.25498009,77.4407959,SR3,"https://www.google.com/maps/place/23.25498009,77.4407959"
SR3-39,Govind Pura,23.2472229,77.44438171,SR3,"https://www.google.com/maps/place/23.2472229,77.44438171"
SR3-40,Industrial Gate,23.25288773,77.44729614,SR3,"https://www.google.com/maps/place/23.25288773,77.44729614"
SR3-41,I.T.I.,23.25247955,77.44995117,SR3,"https://www.google.com/maps/place/23.25247955,77.44995117"
SR3-42,J.K. Road Tiraha,23.25149345,77.45642853,SR3,"https://www.google.com/maps/place/23.25149345,77.45642853"
SR3-43,Bhel Gate -1,23.25102043,77.45980072,SR3,"https://www.google.com/maps/place/23.25102043,77.45980072"
SR3-44,Jubli Gate – Bhel,23.25033951,77.46299744,SR3,"https://www.google.com/maps/place/23.25033951,77.46299744"
SR3-45,Bima Hospital,23.24983215,77.46750641,SR3,"https://www.google.com/maps/place/23.24983215,77.46750641"
SR3-46,Piplani Pump,23.24910355,77.4718399,SR3,"https://www.google.com/maps/place/23.24910355,77.4718399"
SR3-47,Kalpana Nagar,23.24972725,77.47714996,SR3,"https://www.google.com/maps/place/23.24972725,77.47714996"
SR3-48,Ratnagiri Bay Pass,23.25010109,77.47882843,SR3,"https://www.google.com/maps/place/23.25010109,77.47882843"
SR3-49,Prakash Nagar,23.25810432,77.47951508,SR3,"https://www.google.com/maps/place/23.25810432,77.47951508"
SR3-50,Rajiv Gandhi Nagar,23.2565937,77.48345947,SR3,"https://www.google.com/maps/place/23.2565937,77.48345947"
SR3-51,Century Garden,23.26511574,77.47123718,SR3,"https://www.google.com/maps/place/23.26511574,77.47123718"
SR3-52,Narela Snakri,23.26877213,77.46886444,SR3,"https://www.google.com/maps/place/23.26877213,77.46886444"
SR3-53,Sagar Avenue,23.27220726,77.46840668,SR3,"https://www.google.com/maps/place/23.27220726,77.46840668"
SR3-54,Ayodhya By Pass,23.27552223,77.46365356,SR3,"https://www.google.com/maps/place/23.27552223,77.46365356"
SR3-55,Gardan,23.27690315,77.46582794,SR3,"https://www.google.com/maps/place/23.27690315,77.46582794"
SR3-56,Ayodhya Nagar,23.27812576,77.46768951,SR3,"https://www.google.com/maps/place/23.27812576,77.46768951"
SR4-1,Chinchli Bairagarh,23.1499958,77.41099548,SR4,"https://www.google.com/maps/place/23.1499958,77.41099548"
SR4-2,Gainhu Kheda,23.15826225,77.4135437,SR4,"https://www.google.com/maps/place/23.15826225,77.4135437"
SR4-3,Nahar(Sanskar Gardan),23.16161156,77.41426849,SR4,"https://www.google.com/maps/place/23.16161156,77.41426849"
SR4-4,Lalita Nagar,23.16539001,77.41527557,SR4,"https://www.google.com/maps/place/23.16539001,77.41527557"
SR4-5,Nayapura Colony,23.17263985,77.41699219,SR4,"https://www.google.com/maps/place/23.17263985,77.41699219"
SR4-6,Beema Kunj,23.17947769,77.41843414,SR4,"https://www.google.com/maps/place/23.17947769,77.41843414"
SR4-7,Mahabali Nagar,23.18140984,77.40851593,SR4,"https://www.google.com/maps/place/23.18140984,77.40851593"
SR4-8,Sarvadharma Colony,23.18905067,77.41722107,SR4,"https://www.google.com/maps/place/23.18905067,77.41722107"
SR4-9,Nahar Puliya,23.20380783,77.41159058,SR4,"https://www.google.com/maps/place/23.20380783,77.41159058"
SR4-10,Khushi Lal College,23.20633125,77.40326691,SR4,"https://www.google.com/maps/place/23.20633125,77.40326691"
SR4-11,Sabri Nagar,23.20876503,77.3976593,SR4,"https://www.google.com/maps/place/23.20876503,77.3976593"
SR4-12,Nehru Nagar,23.21052933,77.3948288,SR4,"https://www.google.com/maps/place/23.21052933,77.3948288"
SR4-13,Kamla Nagar/ Kotra,23.21845055,77.39165497,SR4,"https://www.google.com/maps/place/23.21845055,77.39165497"
SR4-14,Govt. Quarters,23.22070313,77.39237213,SR4,"https://www.google.com/maps/place/23.22070313,77.39237213"
SR4-15,P&T Chouraha,23.22612762,77.39253235,SR4,"https://www.google.com/maps/place/23.22612762,77.39253235"
SR4-16,City Depot,23.22879219,77.38852692,SR4,"https://www.google.com/maps/place/23.22879219,77.38852692"
SR4-17,Jawahar Chowk,23.23161697,77.39391327,SR4,"https://www.google.com/maps/place/23.23161697,77.39391327"
SR4-18,Rangmahal,23.23566055,77.39877319,SR4,"https://www.google.com/maps/place/23.23566055,77.39877319"
SR4-19,Roshanpura,23.23756409,77.40115356,SR4,"https://www.google.com/maps/place/23.23756409,77.40115356"
SR4-20,Old Vidhan Sabha,23.242836,77.40871429,SR4,"https://www.google.com/maps/place/23.242836,77.40871429"
SR4-21,Phq,23.24808693,77.41262817,SR4,"https://www.google.com/maps/place/23.24808693,77.41262817"
SR4-22,Police Control Room,23.24339485,77.4096756,SR4,"https://www.google.com/maps/place/23.24339485,77.4096756"
SR4-23,Jehangirabad,23.25225258,77.41423798,SR4,"https://www.google.com/maps/place/23.25225258,77.41423798"
SR4-24,Lady Hospital,23.25993347,77.41261292,SR4,"https://www.google.com/maps/place/23.25993347,77.41261292"
SR4-25,Ajabghar,23.25993347,77.41261292,SR4,"https://www.google.com/maps/place/23.25993347,77.41261292"
SR4-26,Bharat Talkies,23.26047707,77.41085815,SR4,"https://www.google.com/maps/place/23.26047707,77.41085815"
SR4-27,Alpana Tiraha,23.26436806,77.41020203,SR4,"https://www.google.com/maps/place/23.26436806,77.41020203"
SR4-28,Sabji Mandi,23.26443863,77.40631866,SR4,"https://www.google.com/maps/place/23.26443863,77.40631866"
SR4-29,Nadra Bus Stand,23.2652874,77.40531921,SR4,"https://www.google.com/maps/place/23.2652874,77.40531921"
SR4-30,Bhopal Talkies,23.26757622,77.40079498,SR4,"https://www.google.com/maps/place/23.26757622,77.40079498"
SR4-31,Sindi Colony,23.27091599,77.40044403,SR4,"https://www.google.com/maps/place/23.27091599,77.40044403"
SR4-32,Kaji Camp,23.27482414,77.40249634,SR4,"https://www.google.com/maps/place/23.27482414,77.40249634"
SR4-33,Dig Bunglow,23.27835083,77.40346527,SR4,"https://www.google.com/maps/place/23.27835083,77.40346527"
SR4-34,Arif Nagar,23.28089714,77.40851593,SR4,"https://www.google.com/maps/place/23.28089714,77.40851593"
SR4-35,Krishi Upaj Mandi,23.29141235,77.40353394,SR4,"https://www.google.com/maps/place/23.29141235,77.40353394"
